GeneID,ModuleID
SYNPCC7002_A2233,18
SYNPCC7002_A2235,10
SYNPCC7002_A2236,20
SYNPCC7002_A2238,45
SYNPCC7002_A2239,45
SYNPCC7002_A2241,16
SYNPCC7002_A2242,11
SYNPCC7002_A2245,6
SYNPCC7002_A2252,5
SYNPCC7002_A2253,13
SYNPCC7002_A2254,6
SYNPCC7002_A2264,14
SYNPCC7002_A2265,17
SYNPCC7002_A2274,4
SYNPCC7002_A2279,2
SYNPCC7002_A2282,19
SYNPCC7002_A2285,6
SYNPCC7002_A2286,6
SYNPCC7002_A2287,3
SYNPCC7002_A2293,45
SYNPCC7002_A2306,11
SYNPCC7002_A2308,11
SYNPCC7002_A2314,12
SYNPCC7002_A2325,6
SYNPCC7002_A2328,20
SYNPCC7002_A2333,5
SYNPCC7002_A2339,6
SYNPCC7002_A2345,2
SYNPCC7002_A2346,2
SYNPCC7002_A2353,1
SYNPCC7002_A2357,4
SYNPCC7002_A2364,2
SYNPCC7002_A2368,16
SYNPCC7002_A2371,3
SYNPCC7002_A2372,3
SYNPCC7002_A2373,3
SYNPCC7002_A2374,3
SYNPCC7002_A2375,3
SYNPCC7002_A2376,3
SYNPCC7002_A2377,3
SYNPCC7002_A2379,3
SYNPCC7002_A2380,3
SYNPCC7002_A2383,7
SYNPCC7002_A2386,1
SYNPCC7002_A2388,20
SYNPCC7002_A2392,5
SYNPCC7002_A2401,1
SYNPCC7002_A2406,9
SYNPCC7002_A2409,13
SYNPCC7002_A2411,8
SYNPCC7002_A2413,13
SYNPCC7002_A2418,2
SYNPCC7002_A2423,23
SYNPCC7002_A2424,15
SYNPCC7002_A2425,16
SYNPCC7002_A2435,13
SYNPCC7002_A2437,17
SYNPCC7002_A2439,9
SYNPCC7002_A2446,13
SYNPCC7002_A2450,9
SYNPCC7002_A2451,9
SYNPCC7002_A2453,7
SYNPCC7002_A2461,8
SYNPCC7002_A2462,2
SYNPCC7002_A2469,4
SYNPCC7002_A2470,18
SYNPCC7002_A2472,10
SYNPCC7002_A2475,1
SYNPCC7002_A2479,1
SYNPCC7002_A2482,19
SYNPCC7002_A2492,3
SYNPCC7002_A2493,3
SYNPCC7002_A2507,19
SYNPCC7002_A2508,1
SYNPCC7002_A2510,18
SYNPCC7002_A2513,8
SYNPCC7002_A2514,11
SYNPCC7002_A2521,6
SYNPCC7002_A2524,45
SYNPCC7002_A2525,8
SYNPCC7002_A2526,15
SYNPCC7002_A2529,21
SYNPCC7002_A2533,1
SYNPCC7002_A2535,18
SYNPCC7002_A2541,3
